Pos,ID,Name,BV,SV,Team,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
D,24,White,6.4,6.4,Arsenal,64,3.46,80,4.37,78,3.45,77,2.9,75,2.78,75,2.59,76,3.88,74,3.13,75,3.28,75,3.27,72,3.88,72,3.11,0,64,80,78,77,75,75,76,74,75,75,72,72,3.46,4.37,3.45,2.9,2.78,2.59,3.88,3.13,3.28,3.27,3.88,3.11,4.37,80,40.1,893,TRUE,D6.4,D6.5Arsenal
D,505,Udogie,5,5,Spurs,85,2.52,81,2.65,77,3.54,77,2.88,79,3.23,76,4.04,76,1.49,75,3.48,74,2.84,73,2.62,71,3.14,74,2.26,0,85,81,77,77,79,76,76,75,74,73,71,74,2.52,2.65,3.54,2.88,3.23,4.04,1.49,3.48,2.84,2.62,3.14,2.26,4.04,85,34.69,918,TRUE,D5,D5Spurs
D,498,Romero,5.1,5.1,Spurs,90,2.18,88,2.42,85,3.25,84,2.7,81,2.89,81,3.75,83,1.28,83,3.36,82,2.63,80,2.37,78,2.93,79,2.01,0,90,88,85,84,81,81,83,83,82,80,78,79,2.18,2.42,3.25,2.7,2.89,3.75,1.28,3.36,2.63,2.37,2.93,2.01,3.75,90,31.77,994,TRUE,D5.1,D5Spurs
D,369,Dalot,5,5,Man Utd,91,2.85,87,2.69,79,3.5,78,2.66,76,2.51,74,3.68,72,3.06,70,3.45,72,1.6,71,3.24,71,1.29,72,3.2,0,91,87,79,78,76,74,72,70,72,71,71,72,2.85,2.69,3.5,2.66,2.51,3.68,3.06,3.45,1.6,3.24,1.29,3.2,3.68,91,33.73,913,TRUE,D5,D5Man Utd
D,593,De Ligt,5,5,Man Utd,84,2.43,79,2.33,78,3.14,78,2.43,76,2.34,76,3.4,72,2.85,73,3.21,74,1.57,72,2.97,72,1.25,73,2.9,0,84,79,78,78,76,76,72,73,74,72,72,73,2.43,2.33,3.14,2.43,2.34,3.4,2.85,3.21,1.57,2.97,1.25,2.9,3.4,84,30.82,907,TRUE,D5,D5Man Utd
D,326,Konaté,5.1,5.1,Liverpool,76,3.13,70,2.73,68,2.38,67,1.7,66,2.6,65,2.57,64,2.62,63,1.8,63,1.85,63,2.54,62,2.69,63,1.67,0,76,70,68,67,66,65,64,63,63,63,62,63,3.13,2.73,2.38,1.7,2.6,2.57,2.62,1.8,1.85,2.54,2.69,1.67,3.13,76,28.28,790,TRUE,D5.1,D5Liverpool
D,236,Tarkowski,4.8,4.8,Everton,93,2.97,90,2.38,88,2.7,88,2.86,86,2.54,87,2.02,86,2.81,85,1.49,83,3.05,84,1.51,84,1.12,82,1.78,0,93,90,88,88,86,87,86,85,83,84,84,82,2.97,2.38,2.7,2.86,2.54,2.02,2.81,1.49,3.05,1.51,1.12,1.78,3.05,93,27.23,1036,TRUE,D4.8,D5Everton
D,219,Branthwaite,4.8,4.8,Everton,62,1.96,86,2.22,85,2.57,82,2.64,80,2.35,79,1.82,79,2.52,78,1.37,79,2.88,79,1.39,78,1.06,80,1.72,0,62,86,85,82,80,79,79,78,79,79,78,80,1.96,2.22,2.57,2.64,2.35,1.82,2.52,1.37,2.88,1.39,1.06,1.72,2.88,86,24.5,947,TRUE,D4.8,D5Everton
D,211,Muñoz,4.9,4.9,Crystal Palace,89,3.13,87,1.97,84,2.85,82,2.37,81,3.06,80,3.26,79,2.2,79,2.6,79,3.04,78,1.71,76,2.11,77,2.01,0.05,89,87,84,82,81,80,79,79,79,78,76,77,3.13,1.97,2.85,2.37,3.06,3.26,2.2,2.6,3.04,1.71,2.11,2.01,3.26,89,30.31,971,TRUE,D4.9,D5Crystal Palace
D,210,Mitchell,4.9,4.9,Crystal Palace,85,2.75,84,1.78,81,2.55,80,2.11,80,2.72,79,3.02,79,1.97,77,2.33,80,2.83,78,1.6,79,2.04,78,1.91,0,85,84,81,80,80,79,79,77,80,78,79,78,2.75,1.78,2.55,2.11,2.72,3.02,1.97,2.33,2.83,1.6,2.04,1.91,3.02,85,27.61,960,TRUE,D4.9,D5Crystal Palace
