Pos,ID,Name,BV,SV,Team,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,Elite%,,
D,18,Saliba,6,6,Arsenal,91,4.68,89,4.46,85,3.51,86,3.01,83,2.83,83,2.73,81,3.95,81,3.32,80,3.28,80,3.38,79,3.98,80,3.35,0.05,6,6
D,335,Robertson,6,6,Liverpool,82,4.32,78,3.52,76,3.48,76,2.42,75,3.87,75,3.84,74,4.02,74,2.63,73,2.89,72,3.71,72,4.09,71,2.54,0.25,6,6
D,339,Virgil,6,6,Liverpool,91,3.86,87,3.21,84,3.04,82,2.1,81,3.37,82,3.38,80,3.49,81,2.34,79,2.45,79,3.33,78,3.64,78,2.18,0.01,6,6
D,350,Gvardiol,6,6,Man City,85,3.55,78,4.36,73,3.89,65,3.96,61,2.98,62,2.78,62,2.87,63,2.22,62,3.56,64,3.17,64,3.1,63,2.81,0.09,6,6
D,418,Trippier,5.8,5.8,Newcastle,57,1.66,59,2.8,58,2.66,61,1.79,58,1.94,61,2.57,60,3,58,2.34,59,1.95,61,2.52,59,3.35,59,2.77,0,5.8,5.8
D,311,Alexander-Arnold,7.1,7,Liverpool,84,4.68,80,3.83,78,3.72,76,2.55,77,4.19,75,4.19,75,4.3,74,2.77,73,3.06,73,4.05,73,4.46,73,2.7,0.78,7.1,7
F,351,Haaland,15.3,15.3,Man City,89,6.38,84,7.17,81,6.64,78,8.4,76,5.89,75,5.1,76,6.31,75,4.56,75,6.82,76,5.49,74,6.14,75,5.17,0.74,15.3,15.3
F,473,Stewart,4.5,4.5,Southampton,9,0.62,10,0.51,10,0.77,11,0.55,12,0.81,15,0.93,15,0.86,15,0.82,16,0.97,14,0.79,16,1,15,0.87,0.04,4.5,4.5
F,65,Enes Ünal,5.4,5.4,Bournemouth,33,2.48,32,2,35,1.68,38,1.94,38,1.74,39,2.12,37,2.19,37,2.22,38,2.2,37,2.21,37,2.33,34,1.79,0,5.4,5.4
F,129,João Pedro,5.7,5.6,Brighton,76,3.8,70,4.05,70,3.73,69,4.8,68,3.08,67,3.03,67,3.8,66,4.88,67,3.54,65,3.87,63,3.99,64,3.47,0.84,5.7,5.6
F,232,Ndiaye,5.4,5.4,Everton,70,3.05,64,2.66,65,2.81,62,2.77,64,2.85,62,2.5,64,2.87,61,2.36,59,2.85,63,2.45,63,2.08,64,2.65,0,5.4,5.4
F,252,Raúl,5.4,5.4,Fulham,66,3.28,60,2.3,59,3.14,58,3.07,58,3.36,58,2.82,56,3.45,54,2.52,55,2.93,56,2.44,57,2.39,54,3.5,0,5.4,5.4
F,268,Delap,5.5,5.5,Ipswich,63,3.02,62,2.93,59,3.23,59,2.73,58,3.27,57,2.43,57,2.77,56,2.58,56,2.85,56,2.99,55,2.74,55,2.76,0,5.5,5.5
F,306,Vardy,5.7,5.7,Leicester,80,2.92,75,4.16,67,3.64,62,3.6,61,3.17,57,2.61,57,3,57,2.78,56,3.13,59,3.11,57,2.67,57,3.54,0.15,5.7,5.7
F,566,Strand Larsen,5.5,5.5,Wolves,73,3,68,3.33,69,2.47,67,2.77,66,3.25,65,3.7,65,2.85,63,3.23,64,2.98,62,2.68,63,3.44,65,3.04,0,5.5,5.5
F,27,Archer,5,5,Southampton,67,3.31,66,2.48,64,3.68,61,2.2,60,3.48,60,3.06,58,2.62,59,2.61,58,2.93,58,2.59,58,2.94,58,2.63,0,5,5
F,589,Füllkrug,6.7,6.7,West Ham,23,1.33,47,3.23,45,2.27,47,2.7,48,2.58,45,2.92,47,2.47,45,2.1,46,2.64,45,2.99,44,2.43,45,2.6,0,6.7,6.7
F,541,Cunha,6.5,6.5,Wolves,72,3.18,69,3.49,67,2.58,67,2.85,66,3.39,64,3.93,64,2.88,65,3.57,66,3.13,64,2.93,67,3.77,65,3.17,0,6.5,6.5
F,38,Duran,6.1,6.1,Aston Villa,56,3.09,47,2.73,42,2.24,38,2.4,38,1.9,39,1.77,39,2.34,42,2.02,39,2.39,38,2.66,41,2.17,42,1.79,0,6.1,6.1
F,617,Evanilson,5.9,5.9,Bournemouth,67,4.5,66,3.54,64,2.74,62,2.9,62,2.55,63,3.12,62,3.29,62,3.27,60,3.16,62,3.27,61,3.4,63,2.89,0.01,5.9,5.9
F,110,Wissa,6,6,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,27,1.38,55,3.22,65,2.88,67,3.47,65,2.74,67,3.58,0.01,6,6
F,148,Welbeck,5.8,5.8,Brighton,50,2.33,49,2.6,46,2.35,44,2.77,45,2.02,46,1.99,45,2.4,46,3.05,44,2.26,43,2.39,44,2.54,43,2.27,0.02,5.8,5.8
F,11,Nketiah,5.9,5.9,Crystal Palace,74,3.42,73,3.16,73,3.2,71,3.35,70,3.4,70,3.44,68,2.85,68,3.38,69,3.31,69,2.54,69,2.83,68,2.6,0,5.9,5.9
F,220,Calvert-Lewin,6,6,Everton,76,4.26,73,3.8,70,3.7,68,3.75,66,3.75,65,3.18,64,3.71,64,2.94,63,3.96,62,3,62,2.45,64,3.33,0.13,6,6
F,251,Muniz,6,6,Fulham,34,1.88,39,1.6,38,2.14,38,2.12,38,2.29,38,1.97,38,2.44,38,1.94,38,2.13,39,1.76,38,1.71,40,2.72,0.11,6,6
F,447,Wood,6.1,6.1,Nott'm Forest,80,4.37,75,3.27,74,4.04,72,3.79,71,3.9,71,3.89,70,2.67,71,4.32,70,2.59,69,3.2,69,3.69,70,3.49,0.07,6.1,6.1
F,180,N.Jackson,7.7,7.7,Chelsea,67,4.01,65,4.12,65,3.03,62,3.92,63,3.21,60,2.77,59,3.61,59,3.65,61,3.94,57,3.04,60,3.94,61,3.69,0,7.7,7.7
F,207,Mateta,7.4,7.4,Crystal Palace,78,3.88,75,3.59,74,3.52,74,3.75,72,3.71,72,3.93,72,3.25,72,3.91,71,3.69,71,2.88,71,3.18,71,2.92,0,7.4,7.4
F,82,Solanke,7.5,7.5,Spurs,86,4.5,82,4.21,79,5.26,78,4.36,76,4.84,74,5.43,74,3,74,4.93,74,4.49,74,4.57,72,4.91,71,3.88,0.28,7.5,7.5
F,2,G.Jesus,6.8,6.8,Arsenal,35,2.73,44,3.17,45,2.81,40,2.31,33,2.08,39,2.24,31,2.21,31,1.94,32,2.17,33,2.03,35,2.54,35,2.11,0,6.8,6.8
F,316,Darwin,7.2,7.2,Liverpool,49,3.4,45,2.74,50,3.26,51,2.31,48,3.23,48,3.19,49,3.5,50,2.46,48,2.92,48,3.16,48,3.29,48,2.77,0,7.2,7.2
F,389,Zirkzee,7,7,Man Utd,53,3.06,49,2.54,47,2.99,48,2.69,46,2.72,48,3.27,48,2.94,48,3.16,49,2.06,48,3,48,1.95,47,3,0,7,7
F,375,Højlund,6.9,6.9,Man Utd,31,1.96,37,2.02,35,2.43,37,2.18,36,2.17,36,2.51,35,2.21,37,2.5,36,1.64,37,2.4,37,1.61,37,2.49,0,6.9,6.9
F,401,Isak,8.4,8.4,Newcastle,89,4.3,85,5.22,82,5.29,79,4.24,77,3.84,76,4.38,74,5.16,75,4.26,72,4.08,73,4.31,73,5.54,73,4.61,0.35,8.4,8.4
F,4,Havertz,8.1,8.1,Arsenal,86,5.73,84,5.27,80,4.27,81,3.99,78,3.91,78,3.71,74,4.46,75,3.9,73,4.15,74,3.82,73,4.71,73,3.75,0.03,8.1,8.1
F,58,Watkins,9,9,Aston Villa,82,4.66,82,4.77,80,4.16,78,5.03,77,3.78,77,3.33,76,4.65,76,3.72,77,4.84,75,5.42,75,4.03,75,3.23,0.09,9,9
G,152,Arrizabalaga,4.5,4.5,Bournemouth,94,3.71,93,3.57,92,3.03,91,3.16,91,2.95,89,3.2,90,3.29,90,3.34,90,3,89,3.4,90,3.38,89,3.01,0,4.5,4.5
G,91,Flekken,4.5,4.5,Brentford,94,3.6,93,3.55,92,3.17,92,3.77,92,3.37,92,3.54,91,3.43,92,3.73,91,3.16,91,3.17,91,3.1,90,3.53,0.28,4.5,4.5
G,146,Verbruggen,4.5,4.5,Brighton,92,3.2,91,3.27,89,3.08,88,3.66,87,2.86,88,2.93,87,3.27,89,3.69,87,3.33,87,3.48,86,3.46,85,3.21,0.04,4.5,4.5
G,185,Sánchez,4.6,4.6,Chelsea,91,3.46,87,3.58,85,2.85,82,2.98,83,2.88,83,2.9,83,3.31,81,3.08,81,3.1,83,2.74,81,3.23,81,3.15,0,4.6,4.6
G,201,Henderson,4.5,4.5,Crystal Palace,93,3.45,92,3.04,91,3.29,90,3.02,91,3.36,92,3.51,91,3.12,92,3.15,91,3.45,90,2.87,90,3.1,91,3,0.6,4.5,4.5
G,568,Muric,4.4,4.4,Ipswich,94,3.22,93,3.17,92,3.47,90,3.13,91,3.48,89,2.85,90,3.02,90,3.15,91,3.33,91,3.31,91,3.24,91,3.08,0,4.4,4.4
G,293,Hermansen,4.5,4.5,Leicester,94,3.02,92,3.37,91,3.35,90,3.45,90,3.29,89,2.88,89,3.02,89,3.12,88,3.25,87,3.12,88,2.93,88,3.41,0,4.5,4.5
G,325,Kelleher,4.4,4.4,Liverpool,62,2.6,19,0.74,3,0.11,4,0.13,5,0.19,4,0.17,4,0.17,4,0.14,3,0.12,5,0.2,5,0.2,4,0.14,0,4.4,4.4
G,443,Sels,4.5,4.5,Nott'm Forest,94,3.49,91,3.06,91,3.44,91,3.4,90,3.34,91,3.11,90,2.89,91,3.6,91,2.91,90,3,90,3.2,90,3.17,0,4.5,4.5
G,14,Ramsdale,4.4,4.4,Southampton,94,3.19,94,3.07,93,3.46,92,3.07,92,3.39,90,3.17,90,2.88,90,2.95,91,2.98,90,2.97,89,2.91,89,3.12,0.01,4.4,4.4
G,513,Areola,4.5,4.5,West Ham,94,3.41,93,3.62,92,3.03,91,3.2,91,3.34,90,3.63,91,3.05,91,3.02,90,3.45,91,3.6,90,3.26,90,3.29,0.01,4.5,4.5
G,204,Johnstone,4.4,4.4,Wolves,93,2.92,91,3.18,91,2.9,90,2.97,89,3.23,89,3.36,88,3.05,86,3.13,86,3.02,86,2.99,86,3.33,85,3.12,0,4.4,4.4
G,536,Bentley,4,4,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,4,4
G,15,Raya,5.6,5.6,Arsenal,94,4.42,93,4.32,92,3.86,91,3.56,91,3.52,91,3.49,91,4.16,91,3.86,90,3.73,91,3.86,91,4.24,91,3.9,0.1,5.6,5.6
G,310,A.Becker,5.5,5.5,Liverpool,32,1.3,76,3.02,92,3.52,91,3.3,90,3.71,91,3.73,91,3.81,91,3.34,92,3.43,90,3.78,90,3.92,91,3.27,0.01,5.5,5.5
G,347,Ederson M.,5.5,5.5,Man City,92,3.6,90,4.09,89,3.94,90,4.26,88,3.75,89,3.63,86,3.47,87,3.19,87,4.06,86,3.7,85,3.54,86,3.49,0.02,5.5,5.5
G,47,Martinez,5,5,Aston Villa,94,3.76,92,3.34,91,3.38,90,3.52,91,3.08,91,3.01,89,3.55,90,3.14,89,3.59,89,3.64,89,3.38,89,3,0.01,5,5
G,235,Pickford,4.8,4.8,Everton,94,3.47,93,3.19,93,3.48,92,3.4,91,3.32,90,3.15,90,3.35,91,2.98,91,3.48,91,2.96,91,2.92,90,3.02,0,4.8,4.8
G,248,Leno,5,5,Fulham,94,3.46,93,3.06,93,3.41,92,3.49,92,3.6,91,3.37,92,3.66,91,2.99,90,3.35,91,3.1,90,2.95,91,3.69,0,5,5
G,383,Onana,5,5,Man Utd,94,3.25,93,3.17,92,3.63,92,3.36,92,3.27,91,3.81,91,3.61,91,3.71,90,2.96,90,3.56,90,2.92,90,3.53,0,5,5
G,413,Pope,5,5,Newcastle,94,3.13,93,3.6,92,3.36,91,3.08,91,3.09,91,3.33,90,3.46,90,3.29,90,2.99,91,3.32,90,3.66,91,3.45,0,5,5
G,508,Vicario,5,5,Spurs,94,3.26,92,3.33,92,3.68,92,3.45,91,3.43,91,3.86,91,3.04,91,3.66,91,3.38,91,3.19,90,3.5,90,3.04,0.01,5,5
M,182,Palmer,10.6,10.6,Chelsea,86,6.41,83,6.65,84,4.46,82,6.43,80,4.86,78,4.47,78,5.72,78,5.85,76,5.87,74,4.45,75,6.2,75,5.35,0.09,10.6,10.6
M,17,Saka,10,10,Arsenal,86,7.55,81,6.8,82,5.58,80,5.09,79,4.99,79,4.67,75,5.84,76,4.96,75,5.38,76,4.82,75,6.24,78,4.97,0.35,10,10
M,503,Son,10,10,Spurs,89,5.05,88,4.93,86,6.2,85,5.12,82,5.65,81,6.56,82,3.49,81,5.93,80,5.1,80,5.34,81,5.92,81,4.72,0.04,10,10
M,328,M.Salah,12.8,12.6,Liverpool,87,6.9,84,5.88,83,6.37,81,4.2,80,6.33,80,6.44,79,6.55,79,4.47,78,5.37,79,5.96,79,6.58,79,5.03,0.86,12.8,12.6
M,208,M.França,4.4,4.4,Crystal Palace,3,0.21,9,0.5,12,0.59,12,0.62,12,0.68,12,0.69,13,0.64,14,0.75,15,0.82,14,0.67,14,0.68,14,0.66,0,4.4,4.4
M,309,Winks,4.5,4.5,Leicester,67,1.57,65,1.86,65,1.85,63,1.84,61,1.71,62,1.55,64,1.72,61,1.65,60,1.74,63,1.76,61,1.55,61,1.88,0.29,4.5,4.5
M,608,Dibling,4.5,4.5,Southampton,45,2.23,43,1.69,44,2.57,39,1.48,41,2.37,43,2.2,38,1.78,38,1.74,39,1.91,41,1.86,38,1.9,39,1.85,0,4.5,4.5
M,57,Tielemans,5.5,5.5,Aston Villa,83,3.42,77,3.3,73,2.79,71,3.21,71,2.52,70,2.32,70,3.11,70,2.52,69,3.09,69,3.44,69,2.69,68,2.33,0,5.5,5.5
M,53,Ramsey,5.5,5.5,Aston Villa,63,3.02,62,2.97,55,2.44,51,2.7,47,2.02,46,1.85,46,2.39,46,1.95,47,2.46,48,2.81,47,2.21,46,1.84,0,5.5,5.5
M,78,Semenyo,5.6,5.6,Bournemouth,77,4.61,75,3.64,72,2.75,73,2.96,70,2.61,70,3.16,69,3.27,69,3.31,69,3.29,68,3.27,68,3.48,68,2.79,0.03,5.6,5.6
M,83,Tavernier,5.5,5.5,Bournemouth,62,3.64,60,2.99,62,2.52,61,2.6,58,2.28,57,2.66,56,2.78,58,2.88,56,2.7,58,2.86,57,2.98,57,2.42,0,5.5,5.5
M,106,Schade,5.4,5.4,Brentford,65,3.37,65,3.55,58,2.58,56,3.35,53,2.54,54,3.09,49,2.45,43,2.5,41,1.86,40,2.13,42,1.85,40,2.24,0,5.4,5.4
M,95,Jensen,5.4,5.4,Brentford,0,0,0,0,29,1.04,58,2.53,67,2.43,69,2.8,67,2.49,66,2.84,66,2.25,66,2.53,64,2.12,66,2.63,0,5.4,5.4
M,135,Minteh,5.5,5.5,Brighton,67,2.99,65,3.39,60,2.9,60,3.76,58,2.42,57,2.41,57,2.96,57,3.8,57,2.84,56,3.09,55,3.15,54,2.75,0.12,5.5,5.5
M,230,McNeil,5.4,5.4,Everton,86,3.77,84,3.35,81,3.39,80,3.54,78,3.45,78,3.03,78,3.51,77,2.79,79,3.85,78,2.89,78,2.39,79,3.17,0.01,5.4,5.4
M,224,Harrison,5.4,5.4,Everton,57,2.68,55,2.39,54,2.44,54,2.54,53,2.49,53,2.19,54,2.59,54,2.13,55,2.79,54,2.17,52,1.8,52,2.27,0,5.4,5.4
M,240,Andreas,5.4,5.4,Fulham,77,3.27,74,2.47,73,3.41,71,3.27,72,3.66,69,3.01,69,3.78,69,2.72,70,3.27,66,2.6,66,2.41,66,3.82,0,5.4,5.4
M,19,Smith Rowe,5.7,5.7,Fulham,74,3.35,70,2.42,68,3.29,66,3.11,63,3.28,62,2.76,63,3.51,62,2.61,62,2.98,64,2.54,63,2.37,62,3.61,0.23,5.7,5.7
M,274,Hutchinson,5.4,5.4,Ipswich,68,2.77,65,2.61,62,2.79,62,2.42,60,2.85,60,2.19,59,2.4,58,2.29,58,2.53,59,2.63,58,2.44,56,2.36,0,5.4,5.4
