Pos,ID,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
D,236,Tarkowski,4.8,4.8,Everton,92,2.78,89,2.72,88,2.18,87,2.94,87,1.58,86,3.12,85,1.61,84,1.23,83,1.89,84,0.85,83,2.96,0,92,91,89,88,87,87,86,85,84,83,84,83,2.78,3.13,2.72,2.18,2.94,1.58,3.12,1.61,1.23,1.89,0.85,2.96,3.13,92,26.99,1039,TRUE,D4.8,D5Everton
D,219,Branthwaite,4.8,4.8,Everton,52,1.58,84,2.55,85,2.06,82,2.72,82,1.48,80,2.85,81,1.5,80,1.17,79,1.81,79,0.8,77,2.66,0,52,86,84,85,82,82,80,81,80,79,79,77,1.58,2.97,2.55,2.06,2.72,1.48,2.85,1.5,1.17,1.81,0.8,2.66,2.97,86,24.15,947,TRUE,D4.8,D5Everton
D,326,Konaté,5.2,5.2,Liverpool,80,2.79,75,2.96,72,2.83,69,2.96,70,2.01,68,2.14,66,2.7,65,2.77,66,1.82,66,3.19,66,2.42,0,80,77,75,72,69,70,68,66,65,66,66,66,2.79,1.99,2.96,2.83,2.96,2.01,2.14,2.7,2.77,1.82,3.19,2.42,3.19,80,30.58,840,TRUE,D5.2,D5Liverpool
D,369,Dalot,5.1,5.1,Man Utd,89,3.8,78,2.48,76,3.65,74,2.94,74,3.47,73,1.55,74,3.33,73,1.22,72,2.93,72,2.7,72,2.6,0,89,81,78,76,74,74,73,74,73,72,72,72,3.8,2.71,2.48,3.65,2.94,3.47,1.55,3.33,1.22,2.93,2.7,2.6,3.8,89,33.38,908,TRUE,D5.1,D5Man Utd
D,387,Shaw,4.9,4.9,Man Utd,22,0.99,72,2.35,71,3.39,70,2.77,68,3.19,68,1.48,67,3.07,66,1.16,67,2.7,65,2.49,67,2.41,0,22,57,72,71,70,68,68,67,66,67,65,67,0.99,1.97,2.35,3.39,2.77,3.19,1.48,3.07,1.16,2.7,2.49,2.41,3.39,72,27.97,760,TRUE,D4.9,D5Man Utd
D,505,Udogie,4.9,4.9,Spurs,79,3.59,75,3.1,74,3.85,73,1.45,72,3.23,71,2.56,68,2.46,69,3.1,70,2.15,72,2.86,68,3.45,0,79,77,75,74,73,72,71,68,69,70,72,68,3.59,3.1,3.1,3.85,1.45,3.23,2.56,2.46,3.1,2.15,2.86,3.45,3.85,79,34.9,868,TRUE,D4.9,D5Spurs
D,498,Romero,5.1,5.1,Spurs,91,3.38,85,2.83,84,3.66,84,1.25,82,3.02,80,2.33,81,2.37,80,2.94,80,1.94,78,2.66,79,3.31,0,91,88,85,84,84,82,80,81,80,80,78,79,3.38,2.94,2.83,3.66,1.25,3.02,2.33,2.37,2.94,1.94,2.66,3.31,3.66,91,32.63,992,TRUE,D5.1,D5Spurs
D,24,White,6.3,6.3,Arsenal,76,3.1,70,2.63,69,2.36,68,3.52,67,2.87,67,2.97,67,2.77,67,3.55,68,3,67,3.57,66,2.87,0,76,74,70,69,68,67,67,67,67,68,67,66,3.1,2.73,2.63,2.36,3.52,2.87,2.97,2.77,3.55,3,3.57,2.87,3.57,76,35.94,826,TRUE,D6.3,D6.5Arsenal
D,3,Gabriel,6.2,6.1,Arsenal,90,3.69,84,3.13,82,2.74,83,4.38,81,3.46,81,3.61,80,3.4,78,4.23,77,3.44,78,4.32,76,3.4,0.87,90,87,84,82,83,81,81,80,78,77,78,76,3.69,3.16,3.13,2.74,4.38,3.46,3.61,3.4,4.23,3.44,4.32,3.4,4.38,90,42.96,977,TRUE,D6.1,D6Arsenal
D,18,Saliba,6,6,Arsenal,92,3.46,86,3.01,84,2.61,83,4.01,83,3.28,82,3.32,79,3.11,79,3.99,79,3.26,79,3.98,80,3.28,0.22,92,89,86,84,83,83,82,79,79,79,79,80,3.46,2.97,3.01,2.61,4.01,3.28,3.32,3.11,3.99,3.26,3.98,3.28,4.01,92,40.28,995,TRUE,D6,D6Arsenal
D,335,Robertson,6,6,Liverpool,82,3.68,78,4.08,77,3.92,76,4.25,74,2.74,74,3.01,71,3.75,71,3.93,71,2.56,70,4.43,72,3.41,0.19,82,80,78,77,76,74,74,71,71,71,70,72,3.68,2.53,4.08,3.92,4.25,2.74,3.01,3.75,3.93,2.56,4.43,3.41,4.43,82,42.29,896,TRUE,D6,D6Liverpool
D,339,Virgil,6,6,Liverpool,92,3.34,85,3.63,83,3.52,82,3.73,81,2.42,82,2.71,82,3.53,82,3.69,79,2.28,78,4,81,3.12,0,92,88,85,83,82,81,82,82,82,79,78,81,3.34,2.33,3.63,3.52,3.73,2.42,2.71,3.53,3.69,2.28,4,3.12,4,92,38.3,995,TRUE,D6,D6Liverpool
D,350,Gvardiol,5.9,5.9,Man City,79,3.99,68,3.05,66,2.85,69,3.02,67,2.15,67,3.73,66,3.14,64,3.08,64,2.7,66,3.83,65,3.36,0.17,79,69,68,66,69,67,67,66,64,64,66,65,3.99,4.29,3.05,2.85,3.02,2.15,3.73,3.14,3.08,2.7,3.83,3.36,4.29,79,39.19,810,TRUE,D5.9,D6Man City
D,311,Alexander-Arnold,7.1,7,Liverpool,85,4.04,80,4.49,79,4.39,77,4.61,77,3,74,3.25,73,4.03,73,4.33,74,2.85,72,4.86,72,3.62,0.65,85,82,80,79,77,77,74,73,73,74,72,72,4.04,2.74,4.49,4.39,4.61,3,3.25,4.03,4.33,2.85,4.86,3.62,4.86,85,46.21,918,TRUE,D7,D7Liverpool
F,351,Haaland,15.4,15.4,Man City,88,7.53,81,6.32,80,5.8,78,6.6,79,4.7,78,6.96,79,5.7,77,6.75,75,5.45,77,7.46,77,6.44,0.81,88,83,81,80,78,79,78,79,77,75,77,77,7.53,8.04,6.32,5.8,6.6,4.7,6.96,5.7,6.75,5.45,7.46,6.44,8.04,88,77.75,952,TRUE,F15.4,F15.5Man City
F,473,Stewart,4.6,4.6,Southampton,23,1.53,26,1.71,27,1.58,26,1.36,26,1.39,25,1.44,24,1.3,26,1.52,26,1.38,27,1.61,27,1.46,0.05,23,25,26,27,26,26,25,24,26,26,27,27,1.53,1.11,1.71,1.58,1.36,1.39,1.44,1.3,1.52,1.38,1.61,1.46,1.71,27,17.39,308,FALSE,F4.6,F4.5Southampton
