Pos,ID,Name,BV,SV,Team,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
G,248,Leno,5,5,Fulham,93,3.58,92,3.51,92,3.71,91,3.02,90,3.32,90,3.19,90,2.95,89,3.61,90,3.07,90,3.38,90,3.65,0,94,93,92,92,91,90,90,90,89,90,90,90,3.6,3.58,3.51,3.71,3.02,3.32,3.19,2.95,3.61,3.07,3.38,3.65,3.71,94,40.59,1091,TRUE,G5,G5Fulham
G,383,Onana,5,5,Man Utd,93,3.25,93,3.79,92,3.47,91,3.63,91,3.08,91,3.64,91,2.98,91,3.34,91,3.41,91,3.24,91,2.98,0,94,93,93,92,91,91,91,91,91,91,91,91,3.43,3.25,3.79,3.47,3.63,3.08,3.64,2.98,3.34,3.41,3.24,2.98,3.79,94,40.24,1100,TRUE,G5,G5Man Utd
G,413,Pope,5,5,Newcastle,92,3.26,92,3.47,90,3.5,91,3.38,91,3.04,90,3.27,90,3.71,91,3.48,91,3.4,90,3.07,90,2.94,0,93,92,92,90,91,91,90,90,91,91,90,90,3.17,3.26,3.47,3.5,3.38,3.04,3.27,3.71,3.48,3.4,3.07,2.94,3.71,93,39.69,1091,TRUE,G5,G5Newcastle
G,508,Vicario,5,5,Spurs,93,3.42,92,3.92,91,3.11,91,3.65,91,3.32,91,3.27,91,3.57,91,3.12,90,3.54,90,3.7,90,3.36,0,94,93,92,91,91,91,91,91,91,90,90,90,3.63,3.42,3.92,3.11,3.65,3.32,3.27,3.57,3.12,3.54,3.7,3.36,3.92,94,41.61,1095,TRUE,G5,G5Spurs
M,17,Saka,10.1,10,Arsenal,86,5.11,82,4.66,79,5.66,79,5.06,77,5.47,78,4.63,74,5.75,76,4.61,75,6.13,77,4.79,78,4.67,0.51,65,86,82,79,79,77,78,74,76,75,77,78,3.89,5.11,4.66,5.66,5.06,5.47,4.63,5.75,4.61,6.13,4.79,4.67,6.13,86,60.43,926,TRUE,M10,M10Arsenal
M,503,Son,9.9,9.9,Spurs,85,5.57,84,7.15,84,3.94,82,6.08,84,5.25,82,5.59,81,5.96,82,4.83,81,5.06,82,6.73,81,5.71,0.42,87,85,84,84,82,84,82,81,82,81,82,81,5.47,5.57,7.15,3.94,6.08,5.25,5.59,5.96,4.83,5.06,6.73,5.71,7.15,87,67.34,995,TRUE,M9.9,M10Spurs
M,182,Palmer,10.8,10.8,Chelsea,86,5.39,82,4.79,78,5.94,77,5.84,77,5.78,74,4.22,74,6.06,75,5.25,76,5.9,72,5.31,75,4.8,0.17,88,86,82,78,77,77,74,74,75,76,72,75,6.75,5.39,4.79,5.94,5.84,5.78,4.22,6.06,5.25,5.9,5.31,4.8,6.75,88,66.03,934,TRUE,M10.8,M11Chelsea
M,328,M.Salah,12.6,12.5,Liverpool,84,6.71,83,6.85,82,6.83,81,5.03,80,5.46,80,6.12,79,6.68,80,5.12,79,7.8,78,5.83,78,6.51,0.12,90,84,83,82,81,80,80,79,80,79,78,78,4.75,6.71,6.85,6.83,5.03,5.46,6.12,6.68,5.12,7.8,5.83,6.51,7.8,90,73.69,974,TRUE,M12.5,M12.5Liverpool
M,309,Winks,4.5,4.5,Leicester,62,1.83,64,1.68,63,1.76,64,1.77,61,1.85,64,1.85,62,1.63,63,1.96,61,1.48,61,1.54,58,1.55,0.06,61,62,64,63,64,61,64,62,63,61,61,58,1.83,1.83,1.68,1.76,1.77,1.85,1.85,1.63,1.96,1.48,1.54,1.55,1.96,64,20.73,744,FALSE,M4.5,M4.5Leicester
M,442,Sangaré,4.4,4.4,Nott'm Forest,0,0,0,0,23,0.7,47,1.75,57,1.55,56,1.69,55,1.81,53,1.7,52,1.64,47,1.59,48,1.58,0.01,0,0,0,23,47,57,56,55,53,52,47,48,0,0,0,0.7,1.75,1.55,1.69,1.81,1.7,1.64,1.59,1.58,1.81,57,14.01,438,FALSE,M4.4,M4.5Nott'm Forest
