Pos,ID,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
D,243,Konaté,5.1,5.1,Liverpool,40,3.45,21,0.92,23,1.22
M,244,Jones,5.0,5.0,Liverpool,7,0.84,6,0.41,8,0.52
D,245,Tsimikas,3.7,3.7,Liverpool,25,2.54,7,0.28,9,0.45
D,246,N.Williams,3.8,3.8,Liverpool,0,0.00,0,0.00,0,0.00
D,247,R.Williams,4.4,4.4,Liverpool,0,0.00,0,0.00,0,0.00
D,248,Davies,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00
D,249,Walker,5.4,5.4,Man City,33,3.47,73,3.61,72,3.87
M,250,Gündogan,7.1,7.1,Man City,58,6.95,55,3.13,56,3.52
M,251,De Bruyne,11.9,11.9,Man City,74,10.58,74,4.93,71,5.38
D,252,Stones,5.2,5.2,Man City,6,0.67,18,0.97,34,1.99
D,253,Mendy,5.2,5.2,Man City,0,0.00,0,0.00,0,0.00
M,254,Mahrez,8.6,8.6,Man City,40,7.03,41,3.28,39,3.46
M,255,Sterling,10.5,10.5,Man City,55,7.83,53,3.68,52,3.85
D,256,Cancelo,7.2,7.2,Man City,77,9.79,72,4.18,75,4.86
G,257,Ederson,6.1,6.1,Man City,89,9.13,88,4.25,87,4.46
D,258,Aké,4.7,4.7,Man City,35,4.25,22,1.22,26,1.59
D,259,Laporte,6.0,5.9,Man City,78,9.12,74,3.95,67,3.93
G,260,Steffen,4.4,4.4,Man City,1,0.13,2,0.08,3,0.14
M,261,Bernardo,7.0,7.0,Man City,51,5.59,50,2.57,55,3.25
D,262,Dias,6.1,6.1,Man City,76,8.75,70,3.66,62,3.57
F,263,Jesus,8.6,8.6,Man City,53,7.37,54,3.54,52,3.71
D,264,Zinchenko,5.3,5.3,Man City,45,5.17,24,1.22,23,1.28
M,265,Foden,7.8,7.8,Man City,60,8.10,68,4.30,61,4.25
M,266,Rodrigo,5.5,5.5,Man City,76,6.14,74,2.91,76,3.13
M,267,Harrison,5.5,5.5,Leeds,70,5.21,70,3.22,62,2.67
M,268,Torres,6.7,6.7,Man City,0,0.00,0,0.00,0,0.00
F,269,Cavani,8.4,8.4,Man Utd,8,0.57,0,0.00,12,0.77
G,270,de Gea,5.1,5.1,Man Utd,89,3.59,0,0.00,87,3.49
M,271,Matic,4.3,4.3,Man Utd,49,1.69,0,0.00,44,1.55
M,272,Pogba,7.4,7.4,Man Utd,0,0.00,0,0.00,0,0.00
D,273,Maguire,5.4,5.4,Man Utd,21,0.75,0,0.00,51,1.69
M,274,Fred,4.9,4.9,Man Utd,59,1.97,0,0.00,68,2.18
D,275,Shaw,5.0,5.0,Man Utd,0,0.00,0,0.00,48,1.76
M,276,Lingard,6.7,6.7,Man Utd,19,1.07,0,0.00,22,1.20
M,277,Fernandes,11.6,11.6,Man Utd,85,4.33,0,0.00,81,4.20
F,278,Martial,7.6,7.6,Man Utd,0,0.00,0,0.00,0,0.00
